feature,importance,importance_pct
perimeter_worst,0.1501879558346926,15.02
area_worst,0.13599336926476233,13.6
concave_points_worst,0.10508554184656788,10.51
concave_points_mean,0.10181637173365,10.18
radius_worst,0.06826568587303088,6.83
perimeter_mean,0.057940704514910714,5.79
concavity_mean,0.05300185890225086,5.3
radius_mean,0.05057315457970257,5.06
concavity_worst,0.039171408203243,3.92
area_mean,0.038295997628881195,3.83
area_se,0.03026608229170015,3.03
texture_worst,0.018814742099510375,1.88
compactness_mean,0.015646068500466202,1.56
compactness_worst,0.015322341752428003,1.53
smoothness_worst,0.015093101168466265,1.51
texture_mean,0.014784907838092436,1.48
symmetry_worst,0.01205825790037211,1.21
radius_se,0.011231087760247555,1.12
perimeter_se,0.007942728298577279,0.79
concavity_se,0.007367232988988156,0.74
fractal_dimension_worst,0.00725597200808653,0.73
smoothness_mean,0.006606749056436613,0.66
texture_se,0.005962434206122819,0.6
compactness_se,0.00580857375835976,0.58
symmetry_mean,0.004942822612886274,0.49
fractal_dimension_mean,0.004846708585615313,0.48
smoothness_se,0.004385821057584755,0.44
fractal_dimension_se,0.003971988186908968,0.4
symmetry_se,0.004023078337118995,0.4
concave_points_se,0.0033372532103394287,0.33
